flight_number,airline_iata,airline_name,origin_iata,origin_city,dest_iata,dest_city,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,status,delay_minutes,distance_km,aircraft_type,origin_weather_code,origin_temp_c,origin_wind_kmh,origin_visibility_km,origin_precip_mm,origin_humidity,dest_weather_code,dest_temp_c,dest_wind_kmh,dest_visibility_km,dest_precip_mm,dest_humidity,weather_severity,origin_weather_severity,dest_weather_severity,hour_of_day,day_of_week,month,is_weekend,is_holiday,congestion_level,origin_congestion,dest_congestion,airline_reliability,historical_delay_rate,is_delayed
IB5542,IB,Iberia,CDG,Paris,LHR,London,2025-02-21 20:15:00,2025-02-21 20:40:57,2025-02-21 21:02:00,2025-02-21 21:27:57,delayed,47,346,B747,clear,28.6,10.0,13.5,0.0,82,cloudy,26.3,9.7,7.5,0.4,52,0.133,0.095,0.133,20,4,2,0,0,0.553,0.639,0.467,0.76,0.23,1
TK8446,TK,Turkish Airlines,BCN,Barcelona,FCO,Rome,2025-06-17 08:55:00,2025-06-17 09:58:27,2025-06-17 10:49:00,2025-06-17 11:52:27,delayed,114,846,B747,storm,10.4,73.6,4.4,12.8,88,clear,19.5,9.9,14.0,0.0,38,0.848,0.848,0.0,8,1,6,0,0,0.876,0.756,0.996,0.77,0.212,1
IB8921,IB,Iberia,FCO,Rome,DXB,Dubai,2025-04-01 19:20:00,2025-04-02 00:45:43,2025-04-01 19:47:00,2025-04-02 01:12:43,delayed,27,4343,A350,clear,18.6,14.4,12.7,0.0,85,clear,23.7,14.8,11.2,0.0,54,0.084,0.084,0.049,19,1,4,0,0,0.544,0.914,0.175,0.76,0.238,1
BA5078,BA,British Airways,JFK,New York,DXB,Dubai,2025-07-20 15:50:00,2025-07-21 05:35:04,2025-07-20 15:45:00,2025-07-21 05:30:04,on_time,0,11001,A380,clear,32.0,10.8,13.0,0.0,82,clear,20.9,1.9,14.2,0.0,52,0.191,0.191,0.189,15,6,7,1,0,0.222,0.401,0.043,0.82,0.24,0
FR500,FR,Ryanair,ORY,Paris,DXB,Dubai,2025-12-08 16:35:00,2025-12-08 23:08:27,2025-12-08 16:32:00,2025-12-08 23:05:27,on_time,0,5246,A320,snow,-7.5,25.3,3.6,16.3,51,clear,25.3,9.5,13.4,0.0,60,0.55,0.55,0.0,16,0,12,0,0,0.326,0.507,0.144,0.68,0.191,0
FR9232,FR,Ryanair,ORY,Paris,DXB,Dubai,2025-03-10 12:50:00,2025-03-10 19:23:27,2025-03-10 12:45:00,2025-03-10 19:18:27,on_time,0,5246,A350,rain,13.9,31.6,5.7,6.6,48,clear,32.9,12.9,18.9,0.0,58,0.462,0.462,0.034,12,0,3,0,0,0.62,0.472,0.768,0.68,0.191,0
VY8640,VY,Vueling,BCN,Barcelona,CDG,Paris,2025-04-10 18:50:00,2025-04-10 19:54:21,2025-04-10 18:49:00,2025-04-10 19:53:21,on_time,0,858,B777,snow,-6.0,21.8,2.6,15.6,86,cloudy,14.8,23.1,10.0,0.1,90,0.477,0.477,0.0,18,3,4,0,0,0.822,0.818,0.826,0.7,0.203,0
LH9532,LH,Lufthansa,FCO,Rome,ORY,Paris,2025-06-27 09:25:00,2025-06-27 10:46:40,2025-06-27 09:20:00,2025-06-27 10:41:40,on_time,0,1089,B747,clear,21.4,8.1,11.4,0.0,49,storm,17.1,46.5,2.9,7.2,83,0.763,0.18,0.763,9,4,6,0,0,0.78,0.775,0.785,0.8,0.138,0
IB541,IB,Iberia,LHR,London,CDG,Paris,2025-08-19 19:30:00,2025-08-19 19:55:57,2025-08-19 19:33:00,2025-08-19 19:58:57,on_time,0,346,B747,clear,25.8,11.0,18.0,0.0,92,storm,18.7,49.4,3.7,32.9,51,0.879,0.073,0.879,19,1,8,0,0,0.858,0.729,0.987,0.76,0.11,0
AA5833,AA,American Airlines,DXB,Dubai,FCO,Rome,2025-12-27 12:35:00,2025-12-27 18:00:43,2025-12-27 13:42:00,2025-12-27 19:07:43,delayed,67,4343,A350,cloudy,9.2,10.2,8.9,0.2,73,cloudy,11.4,24.0,9.8,0.4,90,0.223,0.223,0.055,12,5,12,1,0,0.692,0.666,0.718,0.81,0.055,1
AA9581,AA,American Airlines,FCO,Rome,CDG,Paris,2025-02-21 17:15:00,2025-02-21 18:37:30,2025-02-21 17:11:00,2025-02-21 18:33:30,on_time,0,1100,A320,snow,-11.6,5.6,1.8,4.3,44,cloudy,15.7,10.1,9.3,0.3,44,0.513,0.513,0.165,17,4,2,0,0,0.714,0.711,0.718,0.81,0.198,0
AA5690,AA,American Airlines,JFK,New York,FCO,Rome,2025-08-12 11:55:00,2025-08-12 20:29:52,2025-08-12 13:57:00,2025-08-12 22:31:52,delayed,122,6865,A320,storm,12.4,59.6,4.3,13.5,68,cloudy,23.5,20.9,11.1,0.0,84,0.884,0.884,0.151,11,1,8,0,0,0.734,0.695,0.774,0.81,0.232,1
VY4095,VY,Vueling,BCN,Barcelona,LHR,London,2025-08-05 15:35:00,2025-08-05 17:01:01,2025-08-05 15:37:00,2025-08-05 17:03:01,on_time,0,1147,B777,clear,29.1,6.5,17.3,0.0,64,clear,30.5,7.0,18.3,0.0,71,0.0,0.0,0.0,15,1,8,0,0,0.513,0.548,0.478,0.7,0.071,0
AA7900,AA,American Airlines,DXB,Dubai,FCO,Rome,2025-08-14 10:35:00,2025-08-14 16:00:43,2025-08-14 10:33:00,2025-08-14 15:58:43,on_time,0,4343,B777,clear,32.0,2.7,12.1,0.0,73,storm,23.4,43.8,1.0,38.2,40,0.924,0.038,0.924,10,3,8,0,0,0.507,0.665,0.349,0.81,0.055,0
BA8879,BA,British Airways,LHR,London,CDG,Paris,2025-07-01 09:55:00,2025-07-01 10:20:57,2025-07-01 10:51:00,2025-07-01 11:16:57,delayed,56,346,A330,clear,19.9,10.0,13.7,0.0,74,cloudy,12.6,19.1,8.4,0.1,45,0.167,0.136,0.167,9,1,7,0,0,0.726,0.789,0.662,0.82,0.11,1
TK1780,TK,Turkish Airlines,ORY,Paris,JFK,New York,2025-11-29 22:40:00,2025-11-30 05:57:24,2025-11-29 22:42:00,2025-11-30 05:59:24,on_time,0,5832,A320,fog,10.7,9.8,1.7,0.3,76,rain,16.5,13.8,3.3,1.8,67,0.508,0.436,0.508,22,5,11,1,0,0.177,0.355,0.0,0.77,0.147,0
VY9866,VY,Vueling,DXB,Dubai,JFK,New York,2025-07-25 08:00:00,2025-07-25 21:45:04,2025-07-25 08:01:00,2025-07-25 21:46:04,on_time,0,11001,E190,rain,7.8,35.9,3.8,1.9,92,storm,23.1,37.6,4.2,38.2,40,0.876,0.43,0.876,8,4,7,0,0,0.819,0.802,0.835,0.7,0.146,0
AZ7799,AZ,ITA Airways,ORY,Paris,FCO,Rome,2025-09-15 10:45:00,2025-09-15 12:06:40,2025-09-15 10:49:00,2025-09-15 12:10:40,on_time,0,1089,A380,rain,21.8,19.2,7.3,9.5,42,rain,14.9,17.9,3.6,4.4,39,0.514,0.514,0.368,10,0,9,0,0,0.649,0.826,0.473,0.74,0.14,0
LH4828,LH,Lufthansa,CDG,Paris,JFK,New York,2026-01-28 09:35:00,2026-01-28 16:52:28,2026-01-28 09:39:00,2026-01-28 16:56:28,on_time,0,5833,B777,rain,4.4,17.0,4.9,12.1,55,rain,7.3,14.5,4.9,3.0,37,0.396,0.396,0.347,9,2,1,0,0,0.579,0.819,0.339,0.8,0.126,0
TK759,TK,Turkish Airlines,CDG,Paris,DXB,Dubai,2025-08-26 21:40:00,2025-08-27 04:12:51,2025-08-26 21:44:00,2025-08-27 04:16:51,on_time,0,5238,A330,clear,25.8,6.6,16.0,0.0,71,clear,16.8,14.4,18.4,0.0,32,0.159,0.159,0.0,21,1,8,0,0,0.273,0.518,0.027,0.77,0.111,0
AA1542,AA,American Airlines,LHR,London,FCO,Rome,2025-06-23 08:45:00,2025-06-23 10:33:13,2025-06-23 10:10:00,2025-06-23 11:58:13,delayed,85,1443,B737,clear,23.7,12.2,19.7,0.0,82,cloudy,7.4,8.2,9.7,0.2,81,0.334,0.289,0.334,8,0,6,0,0,0.658,0.547,0.769,0.81,0.138,1
BA4020,BA,British Airways,JFK,New York,LHR,London,2025-08-26 19:00:00,2025-08-27 01:55:30,2025-08-26 18:55:00,2025-08-27 01:50:30,on_time,0,5540,A330,clear,28.2,8.1,14.1,0.0,76,clear,27.5,11.4,12.0,0.0,66,0.216,0.0,0.216,19,1,8,0,0,0.394,0.753,0.035,0.82,0.093,0
AF8427,AF,Air France,JFK,New York,FCO,Rome,2025-11-10 11:15:00,2025-11-10 19:49:52,2025-11-10 11:19:00,2025-11-10 19:53:52,on_time,0,6865,A330,rain,21.9,37.4,6.2,2.6,49,clear,25.2,4.1,18.3,0.0,61,0.44,0.44,0.262,11,0,11,0,0,0.651,0.653,0.648,0.78,0.232,0
LH9468,LH,Lufthansa,BCN,Barcelona,CDG,Paris,2025-09-01 10:40:00,2025-09-01 11:44:21,2025-09-01 10:38:00,2025-09-01 11:42:21,on_time,0,858,B747,cloudy,11.1,5.1,12.5,0.4,92,clear,25.8,5.2,15.5,0.0,88,0.237,0.126,0.237,10,0,9,0,0,0.437,0.426,0.448,0.8,0.203,0
AF2461,AF,Air France,ORY,Paris,DXB,Dubai,2025-07-13 17:55:00,2025-07-14 00:28:27,2025-07-13 19:07:00,2025-07-14 01:40:27,delayed,72,5246,B747,clear,33.3,5.7,19.9,0.0,49,cloudy,7.9,24.3,9.0,0.1,86,0.106,0.0,0.106,17,6,7,1,0,0.603,0.813,0.394,0.78,0.191,1
EK1580,EK,Emirates,BCN,Barcelona,FCO,Rome,2025-03-11 13:20:00,2025-03-11 14:23:27,2025-03-11 13:18:00,2025-03-11 14:21:27,on_time,0,846,B747,rain,9.4,30.8,7.5,12.9,78,clear,29.4,11.4,18.7,0.0,38,0.401,0.401,0.07,13,1,3,0,0,0.498,0.49,0.507,0.88,0.212,0
TK8253,TK,Turkish Airlines,CDG,Paris,BCN,Barcelona,2025-03-24 12:55:00,2025-03-24 13:59:21,2025-03-24 12:53:00,2025-03-24 13:57:21,on_time,0,858,E190,fog,5.4,0.3,0.7,0.1,75,rain,7.6,22.4,7.8,3.5,52,0.528,0.36,0.528,12,0,3,0,0,0.559,0.763,0.355,0.77,0.061,0
VY1847,VY,Vueling,ORY,Paris,JFK,New York,2025-12-24 09:20:00,2025-12-24 16:37:24,2025-12-24 09:22:00,2025-12-24 16:39:24,on_time,0,5832,A350,storm,22.7,74.9,2.9,15.1,50,storm,29.7,45.0,4.8,29.2,88,0.909,0.909,0.878,9,2,12,0,0,0.583,0.688,0.479,0.7,0.147,0
IB2340,IB,Iberia,LHR,London,FCO,Rome,2025-11-22 10:55:00,2025-11-22 12:43:13,2025-11-22 11:00:00,2025-11-22 12:48:13,on_time,0,1443,A321,snow,-10.0,34.3,4.3,6.9,36,rain,18.8,37.1,8.4,4.2,75,0.538,0.538,0.364,10,5,11,1,0,0.71,0.84,0.581,0.76,0.138,0
AF5649,AF,Air France,FCO,Rome,BCN,Barcelona,2025-09-14 04:25:00,2025-09-14 05:28:27,2025-09-14 04:24:00,2025-09-14 05:27:27,on_time,0,846,A321,clear,29.6,1.4,13.0,0.0,52,clear,32.5,5.5,15.0,0.0,51,0.125,0.113,0.125,4,6,9,1,0,0.13,0.161,0.098,0.78,0.112,0
EK3930,EK,Emirates,LHR,London,CDG,Paris,2025-05-27 19:55:00,2025-05-27 20:20:57,2025-05-27 19:51:00,2025-05-27 20:16:57,on_time,0,346,B777,cloudy,20.5,12.9,13.6,0.3,41,fog,4.8,1.2,0.8,0.7,63,0.666,0.083,0.666,19,1,5,0,0,0.844,0.778,0.91,0.88,0.11,0
U26966,U2,easyJet,CDG,Paris,FCO,Rome,2025-12-10 09:05:00,2025-12-10 10:27:30,2025-12-10 09:08:00,2025-12-10 10:30:30,on_time,0,1100,E190,clear,27.7,7.0,17.0,0.0,44,storm,14.7,54.6,1.4,36.1,47,0.981,0.131,0.981,9,2,12,0,0,0.785,0.752,0.818,0.72,0.116,0
EK2101,EK,Emirates,FCO,Rome,BCN,Barcelona,2025-09-01 16:35:00,2025-09-01 17:38:27,2025-09-01 19:18:00,2025-09-01 20:21:27,delayed,163,846,B777,cloudy,19.2,23.8,8.5,0.3,57,storm,26.8,35.0,3.7,24.1,75,0.789,0.123,0.789,16,0,9,0,0,0.685,0.51,0.86,0.88,0.112,1
DL2470,DL,Delta Air Lines,CDG,Paris,BCN,Barcelona,2025-12-26 16:00:00,2025-12-26 17:04:21,2025-12-26 16:47:00,2025-12-26 17:51:21,delayed,47,858,A330,cloudy,6.2,11.7,14.9,0.4,56,snow,-11.5,11.5,5.3,7.9,48,0.48,0.27,0.48,16,4,12,0,0,0.713,0.562,0.863,0.83,0.061,1
EK8354,EK,Emirates,DXB,Dubai,JFK,New York,2025-03-29 16:00:00,2025-03-30 05:45:04,2025-03-29 16:02:00,2025-03-30 05:47:04,on_time,0,11001,A350,clear,17.6,5.4,17.9,0.0,32,fog,2.3,4.2,0.3,0.1,87,0.727,0.0,0.727,16,5,3,1,0,0.242,0.417,0.068,0.88,0.146,0
TK9084,TK,Turkish Airlines,DXB,Dubai,CDG,Paris,2026-01-04 14:35:00,2026-01-04 21:07:51,2026-01-04 14:39:00,2026-01-04 21:11:51,on_time,0,5238,B737,cloudy,19.8,5.6,15.0,0.4,84,clear,29.2,6.7,19.0,0.0,48,0.094,0.094,0.074,14,6,1,1,0,0.426,0.449,0.403,0.77,0.11,0
U22600,U2,easyJet,LHR,London,FCO,Rome,2025-07-01 12:45:00,2025-07-01 14:33:13,2025-07-01 15:03:00,2025-07-01 16:51:13,delayed,138,1443,B777,clear,23.6,11.9,11.1,0.0,57,storm,17.1,71.4,2.6,30.5,70,0.802,0.165,0.802,12,1,7,0,0,0.504,0.478,0.529,0.72,0.138,1
BA9568,BA,British Airways,CDG,Paris,ORY,Paris,2025-03-22 17:25:00,2025-03-22 17:27:33,2025-03-22 17:21:00,2025-03-22 17:23:33,on_time,0,34,B787,cloudy,23.7,16.1,11.3,0.3,72,cloudy,13.1,18.3,12.8,0.4,36,0.15,0.12,0.15,17,5,3,1,0,0.774,0.832,0.717,0.82,0.069,0
AA574,AA,American Airlines,ORY,Paris,JFK,New York,2025-10-05 09:05:00,2025-10-05 16:22:24,2025-10-05 09:04:00,2025-10-05 16:21:24,on_time,0,5832,A330,storm,15.7,57.8,1.5,14.7,58,cloudy,27.4,21.4,11.5,0.3,33,1.0,1.0,0.219,9,6,10,1,0,0.616,0.71,0.522,0.81,0.147,0
LH2649,LH,Lufthansa,JFK,New York,BCN,Barcelona,2025-07-30 00:10:00,2025-07-30 07:51:15,2025-07-30 00:05:00,2025-07-30 07:46:15,on_time,0,6150,A330,clear,26.3,6.0,11.4,0.0,33,cloudy,9.9,13.4,9.1,0.2,71,0.155,0.097,0.155,0,2,7,0,0,0.346,0.245,0.446,0.8,0.234,0
AF3449,AF,Air France,BCN,Barcelona,DXB,Dubai,2025-06-20 12:30:00,2025-06-20 18:58:07,2025-06-20 12:49:00,2025-06-20 19:17:07,delayed,19,5175,A380,cloudy,16.2,13.8,8.5,0.4,44,storm,14.2,63.9,2.9,28.3,35,1.0,0.073,1.0,12,4,6,0,0,0.593,0.469,0.716,0.78,0.185,1
LH7133,LH,Lufthansa,ORY,Paris,JFK,New York,2025-06-29 10:00:00,2025-06-29 17:17:24,2025-06-29 10:04:00,2025-06-29 17:21:24,on_time,0,5832,E190,cloudy,16.4,13.6,7.2,0.3,59,clear,31.1,1.1,18.6,0.0,32,0.097,0.097,0.084,10,6,6,1,0,0.916,0.938,0.895,0.8,0.147,0
AA1351,AA,American Airlines,LHR,London,BCN,Barcelona,2025-03-31 11:25:00,2025-03-31 12:51:01,2025-03-31 11:22:00,2025-03-31 12:48:01,on_time,0,1147,B787,rain,6.3,38.4,6.2,10.7,76,cloudy,10.6,16.8,10.7,0.2,69,0.474,0.474,0.298,11,0,3,0,0,0.586,0.668,0.503,0.81,0.134,0
U29348,U2,easyJet,FCO,Rome,CDG,Paris,2025-10-20 08:25:00,2025-10-20 09:47:30,2025-10-20 08:27:00,2025-10-20 09:49:30,on_time,0,1100,E190,storm,15.7,77.9,3.6,10.2,43,snow,-12.1,9.6,4.8,3.4,93,0.985,0.985,0.589,8,0,10,0,0,0.732,0.874,0.591,0.72,0.198,0
IB9608,IB,Iberia,JFK,New York,BCN,Barcelona,2025-04-19 12:35:00,2025-04-19 20:16:15,2025-04-19 14:36:00,2025-04-19 22:17:15,delayed,121,6150,B787,clear,23.8,4.5,12.7,0.0,94,storm,17.9,32.8,4.3,7.7,41,0.88,0.076,0.88,12,5,4,1,0,0.678,0.551,0.805,0.76,0.234,1
AF6062,AF,Air France,BCN,Barcelona,FCO,Rome,2025-09-19 20:45:00,2025-09-19 21:48:27,2025-09-19 20:42:00,2025-09-19 21:45:27,on_time,0,846,B737,cloudy,20.0,11.4,10.3,0.1,37,rain,21.7,12.5,7.5,1.5,86,0.454,0.013,0.454,20,4,9,0,0,0.438,0.297,0.578,0.78,0.212,0
AZ6521,AZ,ITA Airways,JFK,New York,DXB,Dubai,2025-07-24 16:00:00,2025-07-25 05:45:04,2025-07-24 16:05:00,2025-07-25 05:50:04,on_time,0,11001,A330,cloudy,23.2,17.9,6.6,0.0,79,rain,21.3,28.1,4.1,2.1,48,0.518,0.075,0.518,16,3,7,0,0,0.406,0.507,0.306,0.74,0.24,0
BA2353,BA,British Airways,DXB,Dubai,BCN,Barcelona,2025-08-12 16:25:00,2025-08-12 22:53:07,2025-08-12 17:46:00,2025-08-13 00:14:07,delayed,81,5175,A330,fog,14.6,6.7,1.7,0.7,41,clear,25.2,0.3,13.1,0.0,73,0.448,0.448,0.023,16,1,8,0,0,0.476,0.565,0.387,0.82,0.112,1
BA3991,BA,British Airways,CDG,Paris,LHR,London,2025-10-18 17:55:00,2025-10-18 18:20:57,2025-10-18 18:00:00,2025-10-18 18:25:57,on_time,0,346,B777,clear,32.7,0.6,13.4,0.0,46,cloudy,8.7,21.6,12.9,0.4,51,0.294,0.0,0.294,17,5,10,1,0,0.823,0.773,0.872,0.82,0.23,0
TK4196,TK,Turkish Airlines,DXB,Dubai,JFK,New York,2025-09-18 09:15:00,2025-09-18 23:00:04,2025-09-18 09:12:00,2025-09-18 22:57:04,on_time,0,11001,A320,clear,21.2,12.1,14.7,0.0,77,rain,21.7,23.9,5.0,6.3,83,0.23,0.057,0.23,9,3,9,0,0,0.516,0.744,0.288,0.77,0.146,0
IB6426,IB,Iberia,FCO,Rome,LHR,London,2025-03-25 17:40:00,2025-03-25 19:28:13,2025-03-25 17:38:00,2025-03-25 19:26:13,on_time,0,1443,A321,cloudy,24.6,10.7,12.9,0.1,95,clear,16.8,13.7,18.2,0.0,33,0.262,0.262,0.0,17,1,3,0,0,0.771,0.837,0.706,0.76,0.161,0
AF8747,AF,Air France,JFK,New York,ORY,Paris,2025-07-14 21:55:00,2025-07-15 05:12:24,2025-07-14 21:59:00,2025-07-15 05:16:24,on_time,0,5832,B747,storm,22.3,69.6,1.6,15.0,90,cloudy,22.5,14.4,11.5,0.5,32,0.744,0.744,0.051,21,0,7,0,0,0.274,0.5,0.047,0.78,0.193,0
DL1502,DL,Delta Air Lines,CDG,Paris,LHR,London,2025-07-05 07:15:00,2025-07-05 07:40:57,2025-07-05 07:12:00,2025-07-05 07:37:57,on_time,0,346,B787,clear,23.4,11.9,14.6,0.0,93,clear,27.6,8.6,17.2,0.0,30,0.031,0.0,0.031,7,5,7,1,0,0.45,0.546,0.354,0.83,0.23,0
U25872,U2,easyJet,JFK,New York,CDG,Paris,2025-11-06 13:40:00,2025-11-06 20:57:28,2025-11-06 14:38:00,2025-11-06 21:55:28,delayed,58,5833,B787,fog,10.0,3.9,1.0,0.6,77,fog,6.4,0.7,0.6,0.7,43,0.571,0.571,0.539,13,3,11,0,0,0.52,0.528,0.511,0.72,0.233,1
EK3231,EK,Emirates,JFK,New York,BCN,Barcelona,2026-01-17 13:55:00,2026-01-17 21:36:15,2026-01-17 13:50:00,2026-01-17 21:31:15,on_time,0,6150,A380,cloudy,16.0,8.6,7.2,0.4,88,rain,3.8,16.0,3.3,14.1,95,0.248,0.092,0.248,13,5,1,1,0,0.651,0.687,0.614,0.88,0.234,0
AA9037,AA,American Airlines,JFK,New York,CDG,Paris,2025-07-20 09:25:00,2025-07-20 16:42:28,2025-07-20 09:22:00,2025-07-20 16:39:28,on_time,0,5833,A380,clear,23.7,6.0,14.4,0.0,73,storm,23.2,48.4,4.2,14.3,40,0.751,0.135,0.751,9,6,7,1,0,0.806,1.0,0.612,0.81,0.233,0
BA2721,BA,British Airways,JFK,New York,CDG,Paris,2025-07-18 16:20:00,2025-07-18 23:37:28,2025-07-18 16:23:00,2025-07-18 23:40:28,on_time,0,5833,A320,cloudy,15.3,19.4,7.5,0.2,87,clear,27.3,6.5,16.4,0.0,37,0.054,0.054,0.0,16,4,7,0,0,0.271,0.358,0.185,0.82,0.233,0
AA4189,AA,American Airlines,ORY,Paris,FCO,Rome,2025-09-13 04:05:00,2025-09-13 05:26:40,2025-09-13 04:04:00,2025-09-13 05:25:40,on_time,0,1089,A321,clear,19.7,9.7,13.6,0.0,34,rain,11.5,21.1,6.1,2.1,47,0.491,0.072,0.491,4,5,9,1,0,0.173,0.099,0.248,0.81,0.14,0
EK5792,EK,Emirates,CDG,Paris,BCN,Barcelona,2025-10-14 13:40:00,2025-10-14 14:44:21,2025-10-14 13:40:00,2025-10-14 14:44:21,on_time,0,858,A321,cloudy,7.7,20.5,12.3,0.1,66,rain,6.8,14.1,3.5,3.4,86,0.296,0.064,0.296,13,1,10,0,0,0.472,0.531,0.412,0.88,0.061,0
LH1512,LH,Lufthansa,DXB,Dubai,FCO,Rome,2025-07-04 19:55:00,2025-07-05 01:20:43,2025-07-04 21:08:00,2025-07-05 02:33:43,delayed,73,4343,A321,cloudy,21.3,19.0,7.6,0.2,58,storm,25.4,41.8,3.0,17.6,77,0.944,0.0,0.944,19,4,7,0,0,0.408,0.66,0.156,0.8,0.055,1
